ingredient_id,ingredient_name,form,declared_allergen,supplier_verification,storage_profile,handling_steps,storage_area
ING-0057,Ingredient 057,Dry,sesame,Needs Review,Shared,1,Room A
ING-0058,Ingredient 058,Fresh,peanut,Needs Review,Shared,4,Room A
ING-0059,Ingredient 059,Frozen,egg,Verified,Mixed,3,Dry Store
ING-0060,Ingredient 060,Prepared,tree_nut,Needs Review,Dedicated,3,Cold Store
ING-0061,Ingredient 061,Fresh,none,Verified,Mixed,2,Cold Store
ING-0062,Ingredient 062,Frozen,none,Needs Review,Shared,1,Cold Store
ING-0063,Ingredient 063,Frozen,none,Verified,Shared,3,Room B
ING-0064,Ingredient 064,Dry,none,Verified,Shared,3,Cold Store
ING-0065,Ingredient 065,Frozen,none,Needs Review,Dedicated,4,Dry Store
ING-0066,Ingredient 066,Frozen,none,Verified,Dedicated,1,Room B
ING-0067,Ingredient 067,Fresh,none,Unverified,Shared,4,Room B
ING-0068,Ingredient 068,Fresh,soy,Unverified,Shared,1,Dry Store
ING-0069,Ingredient 069,Dry,sesame,Unverified,Mixed,4,Room A
ING-0070,Ingredient 070,Fresh,none,Verified,Shared,3,Cold Store
ING-0071,Ingredient 071,Fresh,none,Verified,Shared,1,Room A
ING-0072,Ingredient 072,Fresh,wheat,Verified,Shared,2,Room B
ING-0073,Ingredient 073,Fresh,tree_nut,Verified,Shared,2,Room A
ING-0074,Ingredient 074,Dry,none,Verified,Shared,1,Dry Store
ING-0075,Ingredient 075,Prepared,none,Verified,Shared,1,Room A
ING-0076,Ingredient 076,Frozen,none,Verified,Shared,2,Cold Store
ING-0077,Ingredient 077,Prepared,shellfish,Verified,Shared,1,Room A
ING-0078,Ingredient 078,Prepared,egg,Unverified,Dedicated,3,Room A
ING-0079,Ingredient 079,Dry,wheat,Needs Review,Shared,2,Cold Store
ING-0080,Ingredient 080,Frozen,soy,Needs Review,Shared,2,Dry Store
ING-0081,Ingredient 081,Fresh,sesame,Unverified,Mixed,1,Room B
ING-0082,Ingredient 082,Fresh,egg,Verified,Mixed,3,Dry Store
ING-0083,Ingredient 083,Dry,fish,Verified,Shared,4,Dry Store
ING-0084,Ingredient 084,Dry,none,Verified,Shared,4,Room B
ING-0085,Ingredient 085,Dry,sesame,Verified,Shared,4,Cold Store
ING-0086,Ingredient 086,Dry,milk,Needs Review,Shared,3,Room A
ING-0087,Ingredient 087,Frozen,none,Verified,Shared,3,Room A
ING-0088,Ingredient 088,Prepared,wheat,Verified,Dedicated,2,Cold Store
ING-0089,Ingredient 089,Prepared,sesame,Verified,Shared,3,Room B
ING-0090,Ingredient 090,Frozen,soy,Verified,Shared,1,Cold Store
