storage_id,kitchen_id,storage_area,storage_status,separation_method,segregation_index,labeling_readiness_index,cleaning_readiness_index,open_container_count,spill_events_30d,inspection_frequency
STORE-0048,K-06,Cold Store,Compliant,Mixed Shelf,0.78474297720191,0.33266195028427925,0.5391413667613659,2,1,Daily
STORE-0049,K-01,Room A,Compliant,Separated,0.3927769193741912,0.4670364755451214,0.8135706819793392,4,3,Twice Daily
STORE-0050,K-02,Room B,Compliant,Separated,0.8407378582080939,0.32955831154675547,0.7542816964222504,3,0,Twice Daily
STORE-0051,K-03,Dry Store,Needs Review,Mixed Shelf,0.684864964689776,0.5712675005322689,0.5290184541783006,3,0,Daily
STORE-0052,K-04,Cold Store,Needs Review,Mixed Shelf,0.751731987868666,0.3820480265091359,0.2751448304346872,3,2,Daily
STORE-0053,K-05,Room A,Compliant,Mixed Shelf,0.6731266119802759,0.8295653863298544,0.5695929517606129,5,3,Daily
STORE-0054,K-06,Room B,Compliant,Unsealed,0.7775640714062018,0.4881017927452384,0.8488387741386483,2,2,Daily
STORE-0055,K-01,Dry Store,Compliant,Separated,0.6402079125381231,0.8402572506387309,0.586840817674074,2,2,Twice Daily
STORE-0056,K-02,Cold Store,Compliant,Separated,0.3505495582884223,0.6907541091548388,0.5736762546627762,1,0,Twice Daily
STORE-0057,K-03,Room A,Compliant,Mixed Shelf,0.845486588781254,0.8115367027295972,0.8797538301737831,2,2,Daily
STORE-0058,K-04,Room B,Compliant,Mixed Shelf,0.8157682988279893,0.2834441266786341,0.8043491170282868,2,2,Daily
STORE-0059,K-05,Dry Store,Compliant,Separated,0.6908962098086049,0.31020247083822916,0.4571032957915381,2,0,Weekly
STORE-0060,K-06,Cold Store,Compliant,Mixed Shelf,0.536795953835965,0.6682430212454697,0.2752916153941686,2,2,Twice Daily
STORE-0061,K-01,Room A,Needs Review,Separated,0.5278273172639556,0.884033619500963,0.6032422765131437,5,2,Weekly
STORE-0062,K-02,Room B,Compliant,Mixed Shelf,0.6594261125571789,0.2462844095873495,0.27684162777947297,4,2,Twice Daily
STORE-0063,K-03,Dry Store,At Risk,Separated,0.3384018458551248,0.22856325056510374,0.887709949636047,4,3,Daily
STORE-0064,K-04,Cold Store,Needs Review,Mixed Shelf,0.6775805005600123,0.328093462721595,0.6065439588779733,5,1,Daily
STORE-0065,K-05,Room A,Compliant,Separated,0.4798280492973753,0.24048039110821803,0.4648872101514733,2,2,Twice Daily
STORE-0066,K-06,Room B,Compliant,Separated,0.8902637002268007,0.41209978588501334,0.26679965177606557,1,3,Daily
STORE-0067,K-01,Dry Store,Compliant,Mixed Shelf,0.47754325457021035,0.8278899179905947,0.3231204165097834,5,1,Daily
STORE-0068,K-02,Cold Store,Compliant,Separated,0.499851771451654,0.8481885174342845,0.3167896765052333,5,1,Daily
STORE-0069,K-03,Room A,Compliant,Mixed Shelf,0.9716708237725112,0.9494871968787817,0.7440476171682314,4,2,Weekly
STORE-0070,K-04,Room B,Needs Review,Mixed Shelf,0.4444707242577765,0.5251205716994056,0.4655742494071995,4,1,Daily
STORE-0071,K-05,Dry Store,Compliant,Separated,0.915547721326719,0.3243973344023588,0.4113031818433165,5,2,Daily
STORE-0072,K-06,Cold Store,Compliant,Separated,0.35726647756697005,0.8221569793668169,0.9030503153684224,5,2,Weekly
