menu_id,school,menu_name,meal_period,primary_allergen,secondary_allergen,servings_planned,menu_status
MENU-0045,Riverside,Nut-Free Granola #10,Breakfast,none,sesame,309,Served
MENU-0046,Oak Valley,Bean Tacos #11,Breakfast,wheat,fish,344,Planned
MENU-0047,Riverside,Bean Tacos #12,Lunch,tree_nut,peanut,268,Served
MENU-0048,Oak Valley,Chicken Rice Bowl #1,Snack,sesame,soy,176,Planned
MENU-0049,Oak Valley,Nut-Free Granola #2,Lunch,none,fish,80,Planned
MENU-0050,Lakeside,Sesame Noodles #3,Breakfast,tree_nut,soy,362,Served
MENU-0051,Sunrise,Pancake Breakfast #4,Lunch,none,tree_nut,325,Served
MENU-0052,Greenfield,Fish Curry #5,Breakfast,peanut,fish,399,Served
MENU-0053,Greenfield,Fruit Yogurt #6,Breakfast,soy,shellfish,310,Planned
MENU-0054,Maple Grove,Chicken Rice Bowl #7,Lunch,soy,tree_nut,54,Planned
MENU-0055,Oak Valley,Bean Tacos #8,Breakfast,tree_nut,wheat,244,Review
MENU-0056,Greenfield,Sesame Noodles #9,Breakfast,milk,egg,64,Review
MENU-0057,Maple Grove,Sesame Noodles #10,Lunch,wheat,fish,44,Served
MENU-0058,Riverside,Fish Curry #11,Snack,shellfish,peanut,193,Review
MENU-0059,Lakeside,Chicken Rice Bowl #12,Snack,wheat,none,65,Planned
MENU-0060,Maple Grove,Vegetable Pasta #1,Lunch,egg,sesame,359,Served
MENU-0061,Greenfield,Sesame Noodles #2,Breakfast,none,shellfish,98,Served
MENU-0062,Sunrise,Bean Tacos #3,Breakfast,none,wheat,324,Planned
MENU-0063,Oak Valley,Vegetable Pasta #4,Snack,wheat,peanut,41,Served
MENU-0064,Sunrise,Sesame Noodles #5,Breakfast,fish,shellfish,263,Planned
MENU-0065,Oak Valley,Chicken Rice Bowl #6,Breakfast,none,soy,44,Planned
MENU-0066,Lakeside,Pancake Breakfast #7,Breakfast,none,none,371,Served
MENU-0067,Lakeside,Chicken Rice Bowl #8,Snack,egg,none,220,Planned
MENU-0068,Greenfield,Sesame Noodles #9,Lunch,none,soy,182,Served
MENU-0069,Maple Grove,Bean Tacos #10,Lunch,sesame,wheat,353,Served
MENU-0070,Sunrise,Chicken Rice Bowl #11,Lunch,none,none,110,Planned
MENU-0071,Oak Valley,Sesame Noodles #12,Lunch,peanut,fish,217,Served
MENU-0072,Riverside,Fish Curry #1,Snack,wheat,fish,131,Served
MENU-0073,Riverside,Pancake Breakfast #2,Snack,egg,peanut,139,Served
MENU-0074,Greenfield,Fruit Yogurt #3,Lunch,fish,wheat,347,Review
MENU-0075,Oak Valley,Fish Curry #4,Lunch,sesame,wheat,303,Review
MENU-0076,Oak Valley,Sesame Noodles #5,Snack,wheat,shellfish,393,Served
MENU-0077,Sunrise,Fruit Yogurt #6,Snack,wheat,soy,324,Review
MENU-0078,Oak Valley,Sesame Noodles #7,Snack,fish,shellfish,244,Review
MENU-0079,Greenfield,Chicken Rice Bowl #8,Snack,fish,tree_nut,394,Served
MENU-0080,Riverside,Sesame Noodles #9,Lunch,none,shellfish,378,Served
