workflow_id,kitchen_id,workflow_step,task_intensity,cross_contact_control_index,sanitation_readiness_index,utensil_separation_index,surface_separation_index,changeover_discipline_index,verification_status,deviations_30d
WF-0043,K-01,Plating,Low,0.2763045294313137,0.36925412107676925,0.6446635642086846,0.5680092134998908,0.47436630742274366,Review,4
WF-0044,K-02,Receiving,Medium,0.7041001150081418,0.8880862100772747,0.4077928025729327,0.6948038915084971,0.19055683456874498,Pass,1
WF-0045,K-03,Plating,Medium,0.9563491175902143,0.2846518502046873,0.3745910748473223,0.9781169872871976,0.5016782020875479,Fail,4
WF-0046,K-04,Cooking,High,0.23190957812620971,0.30492584992584176,0.3176852829250329,0.9485200662324279,0.6986457600995288,Pass,3
WF-0047,K-05,Cleaning,Low,0.5039343016369633,0.29850239611476903,0.9492659343000245,0.6371776339037251,0.9139827270091179,Review,0
WF-0048,K-06,Cooking,High,0.4459169524690334,0.7623486695849813,0.7621590997645541,0.7827488561534538,0.6426765811276149,Pass,1
WF-0049,K-01,Plating,Medium,0.41940756740895047,0.4616416993474858,0.21866488621115332,0.7452482222544281,0.7437007226476837,Pass,2
WF-0050,K-02,Plating,Medium,0.7335189031815267,0.25684558862332624,0.7342343062831919,0.4326271157632675,0.30985610664238816,Pass,1
WF-0051,K-03,Receiving,Low,0.22403737378680513,0.6837393195156448,0.7478139258286944,0.7839636029286526,0.9260386868837451,Review,2
WF-0052,K-04,Cooking,Medium,0.22493520677035334,0.5054650849738268,0.5063428891882769,0.5298217203095845,0.22103574126015524,Pass,0
WF-0053,K-05,Plating,High,0.6372983196014742,0.8224707876759205,0.741349779574211,0.2934237084616449,0.7718553707360377,Pass,0
WF-0054,K-06,Plating,Low,0.6191740612994808,0.30388380021697364,0.43722526925314653,0.8804209404785641,0.5812821707867087,Pass,1
WF-0055,K-01,Plating,Medium,0.22606638299375648,0.29467554448810707,0.863758341907409,0.3685997216874756,0.5243026944732211,Pass,2
WF-0056,K-02,Cleaning,Medium,0.7286696847306153,0.8410945716061982,0.8551524341235476,0.9609800437248959,0.5960627877906942,Pass,4
WF-0057,K-03,Cleaning,Low,0.4305550034319422,0.9754616218938958,0.8002825871212663,0.8218782994568742,0.682581159175263,Pass,1
WF-0058,K-04,Cooking,High,0.6759219146841909,0.4212617587097346,0.9785092718084435,0.32557369583541995,0.5535584335124762,Pass,0
WF-0059,K-05,Cooking,Low,0.6983942430425036,0.9764672737263289,0.3138665714801985,0.3825670379454065,0.4887877349317993,Pass,3
WF-0060,K-06,Cooking,Low,0.5132441032482392,0.9139003568820636,0.43651557774303706,0.434391228379706,0.4822618935179035,Review,2
WF-0061,K-01,Preparation,Low,0.8798174971173881,0.1807803152048037,0.9780151288271566,0.805205998847101,0.8949482038420633,Review,2
WF-0062,K-02,Cooking,High,0.8300675355694175,0.6438966121881561,0.6051946054120212,0.973464724081176,0.24798782246649065,Pass,4
WF-0063,K-03,Cleaning,Low,0.3923846887580036,0.6354246068991802,0.32706156478093695,0.22984586533292356,0.5937110889359565,Pass,3
WF-0064,K-04,Cooking,Medium,0.20657589995878103,0.7869574017661211,0.17610116138533727,0.5464163847980724,0.3419909326435777,Fail,2
WF-0065,K-05,Plating,Medium,0.24271570186261474,0.9144847382955007,0.4436344003017202,0.30567328953114214,0.708022732203817,Pass,0
WF-0066,K-06,Preparation,High,0.7927189022050148,0.8193962709911946,0.7833569417054538,0.3127383429496755,0.23574100490677494,Pass,2
WF-0067,K-01,Plating,Low,0.35468545682867586,0.48562923483478826,0.6405785218822888,0.8973909551720209,0.9346219361156582,Review,1
WF-0068,K-02,Cooking,High,0.39033430649050915,0.34030134632233977,0.5566849035939158,0.45024177628745554,0.9025600495866322,Pass,0
WF-0069,K-03,Cooking,Low,0.7413994814228094,0.787727447287209,0.9623419734825923,0.1676649049405959,0.8918759351916358,Review,4
WF-0070,K-04,Cleaning,Low,0.3179881779402208,0.17215848939548334,0.20591969682262024,0.6358172669173746,0.6853723741706474,Review,0
WF-0071,K-05,Cooking,Medium,0.7119004977916097,0.8601267173084576,0.5210331954211921,0.4498232631876531,0.46674392970421286,Pass,1
WF-0072,K-06,Cleaning,High,0.2866045147131734,0.8383471215057,0.39720480655661583,0.21554082313268363,0.6715841734538894,Pass,0
WF-0073,K-01,Preparation,Medium,0.22421276165445292,0.46429375776978643,0.5199717035979965,0.6697229594812258,0.498737131983491,Fail,2
WF-0074,K-02,Cooking,Low,0.7101636802934285,0.8501523949653149,0.18567612812969872,0.2937116536140465,0.5819225429540766,Pass,0
WF-0075,K-03,Cleaning,Medium,0.8831350237088589,0.6661287231834724,0.6523085237356088,0.7251404287583542,0.4719560307954124,Pass,0
WF-0076,K-04,Receiving,Medium,0.24575229750925284,0.8943088356567671,0.7431291549601308,0.8216081563232028,0.3301674175103911,Review,2
WF-0077,K-05,Cleaning,Low,0.2766336556583086,0.6967166886067517,0.2767076293673658,0.8105107706315224,0.6499768712172889,Pass,2
WF-0078,K-06,Cleaning,Medium,0.20200017873430465,0.9170753168610257,0.2573396951473906,0.29652773913988106,0.5549048793585603,Pass,0
WF-0079,K-01,Cleaning,Medium,0.6227790003377381,0.3082533632300346,0.8196520176493091,0.8376510545359707,0.7107694997760985,Pass,2
WF-0080,K-02,Plating,Low,0.30018841742778535,0.1716975425081286,0.8423317282621239,0.6915470777322739,0.1770535166126091,Review,0
WF-0081,K-03,Plating,Low,0.6471847740985333,0.824862435974044,0.18904960924963057,0.728986853795552,0.39395349602694857,Pass,0
WF-0082,K-04,Plating,Medium,0.9537425115428503,0.23485067097818363,0.344997049928739,0.7817261241491479,0.7794965766076776,Review,4
WF-0083,K-05,Receiving,Low,0.5055772928495781,0.8273814686982058,0.5133752273449228,0.47788940068351426,0.5839088867240342,Pass,2
WF-0084,K-06,Cooking,Low,0.8711393906730033,0.6689291731394592,0.33834115889698557,0.7867217569131745,0.698453754142472,Pass,4
WF-0085,K-01,Cleaning,High,0.28641484445727233,0.7862473587384724,0.6406845486640858,0.9078514980703608,0.9554956354945222,Fail,3
WF-0086,K-02,Plating,High,0.6170105303327036,0.47102183208416526,0.49736616988115134,0.6931598729441182,0.3888736884646655,Review,1
WF-0087,K-03,Cooking,High,0.381664872419896,0.7675607070066337,0.3984616825062563,0.6436163766553815,0.41466821783925034,Pass,0
WF-0088,K-04,Cleaning,Medium,0.8140737401811483,0.15614971367721225,0.5024432582867149,0.18599084859092024,0.2860599520708934,Review,1
WF-0089,K-05,Plating,Low,0.47972199862821596,0.3207926221452214,0.702496989811065,0.6227931075916473,0.5464021755762714,Pass,4
WF-0090,K-06,Cooking,Medium,0.9630582091193924,0.4250317562552878,0.8531251003755698,0.39058658301168786,0.8732038695443048,Pass,4
WF-0091,K-01,Cooking,Low,0.5680473079730861,0.42069100833714856,0.3464677318213946,0.8814528806277903,0.16213469504870284,Pass,1
WF-0092,K-02,Preparation,Low,0.5800588422707966,0.5431062937040818,0.36034306922618586,0.24550790409246226,0.8783295741362627,Pass,2
WF-0093,K-03,Receiving,Low,0.5622217925521806,0.881750142155211,0.9484824585711917,0.5281527530681611,0.5667416670554343,Fail,2
WF-0094,K-04,Plating,Low,0.5887796613116991,0.1513492798738702,0.8070916552726767,0.5202104657345183,0.8284530087586908,Review,4
WF-0095,K-05,Preparation,Medium,0.5634363060150333,0.7945329135715508,0.691354809846912,0.38144872534507357,0.2595838069161175,Pass,3
WF-0096,K-06,Cleaning,Medium,0.5207909418026674,0.7411619949404793,0.26700431100498956,0.5574282153437242,0.1791007591793654,Pass,3
WF-0097,K-01,Receiving,Medium,0.5653829320566868,0.5415831666767813,0.4895538470584172,0.9042864459294925,0.5050054537617686,Review,1
WF-0098,K-02,Cleaning,Medium,0.8475708814546203,0.5626881130753314,0.773145074479693,0.9026365681069942,0.7731423476993491,Review,2
WF-0099,K-03,Cooking,Medium,0.4239669083207198,0.5051134603413951,0.8998788286771685,0.5808113833478734,0.3677920597659078,Pass,4
WF-0100,K-04,Plating,Medium,0.3892326064607098,0.19976030356024901,0.4941009304706695,0.9375743927415454,0.28891688052729214,Pass,1
WF-0101,K-05,Preparation,Low,0.21210369800674336,0.38458870259008326,0.20903677196055792,0.15070812738530698,0.7201600980480714,Pass,4
WF-0102,K-06,Plating,High,0.5449711238899757,0.29347330784848824,0.5170570020150145,0.6295345183497464,0.5098452331311136,Pass,0
WF-0103,K-01,Receiving,High,0.4126645633641858,0.6456268607985141,0.37463313199383924,0.4660272744910692,0.5516590966305789,Pass,3
WF-0104,K-02,Preparation,Medium,0.890792976627934,0.8232233294761752,0.41234775703543824,0.5365230658523216,0.7970013876748161,Review,0
WF-0105,K-03,Plating,Low,0.6147739139389968,0.7273928649764718,0.28293080286272887,0.5439441908537583,0.8284650087835985,Pass,1
WF-0106,K-04,Receiving,High,0.7860449515323306,0.5772792995957081,0.25623137539273355,0.822349004839275,0.3152454035893475,Review,4
WF-0107,K-05,Cooking,Low,0.6032036740810829,0.5200680568793419,0.36254190131048963,0.806913467433485,0.7896472594313176,Pass,3
WF-0108,K-06,Plating,High,0.6371158556129676,0.6057516749671084,0.47463450089407877,0.6145527381877033,0.6754857613334639,Pass,0
WF-0109,K-01,Cooking,Low,0.7064065764490938,0.4981103713035252,0.8788130238667288,0.7378427507403696,0.3335927192289413,Pass,1
WF-0110,K-02,Plating,High,0.6960077363559852,0.7718972165332827,0.7350845206494906,0.45942887621729234,0.755391364072787,Pass,1
WF-0111,K-03,Plating,Low,0.6303047371247482,0.5936532872273843,0.27431730621029227,0.5725364799341748,0.5982926921532317,Fail,4
WF-0112,K-04,Preparation,Medium,0.5751355238098078,0.47027323430458856,0.8060261978862444,0.46801218607576955,0.9747883745142182,Pass,0
WF-0113,K-05,Preparation,Medium,0.7864094683767532,0.2351090099249957,0.9461587287193616,0.7686620939888246,0.8569241511007717,Pass,3
WF-0114,K-06,Receiving,Medium,0.30750278567450073,0.5890300262395138,0.47324686886716083,0.31513519187910344,0.7401622873083468,Pass,3
WF-0115,K-01,Preparation,Medium,0.4556427936973595,0.35975159177086213,0.3035797587221226,0.7091820220017622,0.7506434275704458,Pass,4
WF-0116,K-02,Receiving,High,0.5079867997154204,0.7127224755692945,0.7543553399663437,0.3361764776736042,0.96937719015517,Pass,3
WF-0117,K-03,Preparation,Medium,0.38469984910772237,0.1702077969604711,0.34195702009714846,0.5313095107996681,0.816195109792812,Fail,2
WF-0118,K-04,Plating,High,0.3319278038701236,0.7601954106368826,0.7518968284619326,0.7045970952157686,0.9257923856447413,Review,0
WF-0119,K-05,Cleaning,Low,0.2587339588953727,0.7001409266098391,0.8506145547641024,0.47971178384131474,0.3309652612125349,Pass,1
WF-0120,K-06,Cooking,Medium,0.36535553818358063,0.5530875298233001,0.8035054432710583,0.8660024906213115,0.37220087006055197,Review,2
